"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"SOIC_8";1;"MCP2551-I/SN";;;
2;"J1";"USB_B_TH_Horizontal";1;"UJ2-BH-TH";;;
3;"C8,C6,C7,C10,C5,C9";"C_0603";6;"100n,50v";;;
4;"U3";"QFN48_05_7x7_EP";1;"STM32F072CxUx";;;
5;"M1,M4,M2,M3";"Mount_M3";4;"Mount_M3";;;
6;"U2";"SOT23_5";1;"NCP115ASN330T2G";;;
7;"R5,R6,R2";"R_0603";3;"300R";;;
8;"J2";"TagConnect_2030_NL";1;"TC_2030_NL_STLINK";;;
9;"R9,R4";"R_0603";2;"0R";;;
10;"C2,C3";"C_0603";2;"4.7p,50v";;;
11;"DS1";"DS_0603";1;"LED,RED";;;
12;"U1";"SOT23_6";1;"USBLC6-4SC6";;;
13;"R1,R8";"R_0603";2;"10K";;;
14;"Y1";"Crystal_SMD4_3.2x2.5";1;"ECS-80-12-33-JGN-TR";;;
15;"R7";"R_0603";1;"120R";;;
16;"J3";"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal";1;"Conn_01x03";;;
17;"DS3";"DS_0603";1;"LED,YEL";;;
18;"R3";"R_0603";1;"220R";;;
19;"C4,C1";"C_0805";2;"10u,16v";;;
20;"D1";"SOT23_3";1;"D5V0L2B3SO-7";;;
21;"U5";"SO4_2.54_4.4x3.6";1;"LTV-355T";;;
22;"DS2";"DS_0603";1;"LED,GRN";;;
23;"REF**";"TL_Embedded";1;"TL_Embedded";;;
